"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4080","TC-F01-02: Negative — letters not accepted in Years of experience field","chromium","2026-07-30","failed","2026-07-30","Feature 1 — Create Candidate Manually","tests/features.spec.js","",""
"","4073","TC-F13-01: Set candidate status to bench via Edit","chromium","2026-07-30","failed","2026-07-30","Feature 13 — Hotlist Email","tests/features.spec.js","",""
"","4051","TC-F07-03 [BUG]: ""Start from template"" should prefill salary/comp field","chromium","2026-07-30","failed","2026-07-30","Feature 7 — Jobs: Templates, Assignment, On-Hold","tests/features.spec.js","",""
"","4088","TC-F03-01: Edit (pencil) icon present on candidate detail page","chromium","2026-07-30","failed","2026-07-30","Feature 3 — Edit Candidate","tests/features.spec.js","",""
"","4406","TC-F11-04: Hired and onboarded status updates Analytics tiles","chromium","2026-07-30","failed","2026-07-30","Feature 11 — Application Pipeline","tests/features.spec.js","",""
"","4055","TC-F10-02: Group by salesperson toggle groups vendor list by owner","chromium","2026-07-30","failed","2026-07-30","Feature 10 — Vendors and Email Sequences","tests/features.spec.js","",""
"","4079","TC-F01-03: New candidate appears in candidates list after creation","chromium","2026-07-30","failed","2026-07-30","Feature 1 — Create Candidate Manually","tests/features.spec.js","",""
"","4076","TC-F06-01: Verification checklist card present on candidate detail","chromium","2026-07-30","failed","2026-07-30","Feature 6 — Verification Checklist and Duplicate Check","tests/features.spec.js","",""
"","4072","TC-F12-06: Marking a job filled shows Avg time-to-fill","chromium","2026-07-30","failed","2026-07-30","Feature 12 — Analytics and Reports","tests/features.spec.js","",""
"","4155","TC-F01-05: Social links card appears on candidate detail after creation","chromium","2026-07-30","failed","2026-07-30","Feature 1 — Create Candidate Manually","tests/features.spec.js","",""
"","4050","TC-F11-03: Analytics funnel reflects application status changes","chromium","2026-07-30","failed","2026-07-30","Feature 11 — Application Pipeline","tests/features.spec.js","",""
"","4153","TC-F14-01: Add company with all fields and 2 contacts","chromium","2026-07-30","failed","2026-07-30","Feature 14 — Sales CRM","tests/features.spec.js","",""
"","4073","TC-F04-02: Word resume button present even with no uploaded resume file","chromium","2026-07-30","failed","2026-07-30","Feature 4 — Word Resume Download","tests/features.spec.js","",""
"","4067","TC-F09-04: Interviews and placements feed Analytics counts","chromium","2026-07-30","failed","2026-07-30","Feature 9 — Interviews and Placements","tests/features.spec.js","",""
"","4066","TC-F11-05: backed_out status increments Back Outs tile","chromium","2026-07-30","failed","2026-07-30","Feature 11 — Application Pipeline","tests/features.spec.js","",""
"","4079","TC-F10-01: Add vendor with all fields","chromium","2026-07-30","failed","2026-07-30","Feature 10 — Vendors and Email Sequences","tests/features.spec.js","",""
"","4067","TC-F14-03: Duplicate lead badge shown for same contact email","chromium","2026-07-30","failed","2026-07-30","Feature 14 — Sales CRM","tests/features.spec.js","",""
"","4051","TC-F05-03: Email modal opens with template applied","chromium","2026-07-30","failed","2026-07-30","Feature 5 — Email Button and Templates","tests/features.spec.js","",""
"","4068","TC-F02-03: Resume card shows on candidate detail after parse-create","chromium","2026-07-30","failed","2026-07-30","Feature 2 — Parse Resume on Create","tests/features.spec.js","",""
"","4045","TC-F10-03: Blacklist vendor shows red badge","chromium","2026-07-30","failed","2026-07-30","Feature 10 — Vendors and Email Sequences","tests/features.spec.js","",""
"","4045","TC-F09-03: Placements tab accessible and Log placement button present","chromium","2026-07-30","failed","2026-07-30","Feature 9 — Interviews and Placements","tests/features.spec.js","",""
"","4111","TC-F06-03: Duplicate submission check card present and returns a result","chromium","2026-07-30","failed","2026-07-30","Feature 6 — Verification Checklist and Duplicate Check","tests/features.spec.js","",""
"","4081","TC-F05-02 [BUG]: creating a candidate with no email should show a validation message, not ""Failed to fetch""","chromium","2026-07-30","failed","2026-07-30","Feature 5 — Email Button and Templates","tests/features.spec.js","",""
"","4043","TC-F13-03: Bench candidates pre-selected in Hotlist modal","chromium","2026-07-30","failed","2026-07-30","Feature 13 — Hotlist Email","tests/features.spec.js","",""
"","4095","TC-F14-02 [BUG — BLOCKING]: creating a lead should not return a 401 error","chromium","2026-07-30","failed","2026-07-30","Feature 14 — Sales CRM","tests/features.spec.js","",""
"","4091","TC-F13-02: Hotlist button present on Candidates page","chromium","2026-07-30","failed","2026-07-30","Feature 13 — Hotlist Email","tests/features.spec.js","",""
"","4115","TC-F07-05: Job status can be changed to on-hold","chromium","2026-07-30","failed","2026-07-30","Feature 7 — Jobs: Templates, Assignment, On-Hold","tests/features.spec.js","",""
"","4088","TC-F12-07: ""Not worked"" tile shows active jobs with zero applications","chromium","2026-07-30","failed","2026-07-30","Feature 12 — Analytics and Reports","tests/features.spec.js","",""
"","4065","TC-F05-05: Save as template — custom template appears in dropdown after reopening","chromium","2026-07-30","failed","2026-07-30","Feature 5 — Email Button and Templates","tests/features.spec.js","",""
"","4101","TC-F11-01: Pick jobs & apply button present on candidate detail","chromium","2026-07-30","failed","2026-07-30","Feature 11 — Application Pipeline","tests/features.spec.js","",""
"","4091","TC-F08-04: Cannot convert the same requirement to a job twice","chromium","2026-07-30","failed","2026-07-30","Feature 8 — Requirements / Sales","tests/features.spec.js","",""
"","4073","TC-F14-05: Tick task done shows strikethrough","chromium","2026-07-30","failed","2026-07-30","Feature 14 — Sales CRM","tests/features.spec.js","",""
"","4061","TC-F07-01 [BUG]: AI JD parsing should extract fields from the pasted JD, not stale cached data","chromium","2026-07-30","failed","2026-07-30","Feature 7 — Jobs: Templates, Assignment, On-Hold","tests/features.spec.js","",""
"","4047","TC-F04-01: Word resume button present on candidate detail","chromium","2026-07-30","failed","2026-07-30","Feature 4 — Word Resume Download","tests/features.spec.js","",""
"","4104","TC-F05-04: Send email and receive confirmation","chromium","2026-07-30","failed","2026-07-30","Feature 5 — Email Button and Templates","tests/features.spec.js","",""
"","4053","TC-F07-02: Save as template works and appears in ""Start from template"" list","chromium","2026-07-30","failed","2026-07-30","Feature 7 — Jobs: Templates, Assignment, On-Hold","tests/features.spec.js","",""
"","4065","TC-F08-02: Change requirement status new to working","chromium","2026-07-30","failed","2026-07-30","Feature 8 — Requirements / Sales","tests/features.spec.js","",""
"","4120","TC-F14-04: Log call, email, and task on a lead","chromium","2026-07-30","failed","2026-07-30","Feature 14 — Sales CRM","tests/features.spec.js","",""
"","4739","TC-F01-01: New candidate button is present on Candidates page","chromium","2026-07-30","failed","2026-07-30","Feature 1 — Create Candidate Manually","tests/features.spec.js","",""
"","4086","TC-F01-04: Education card appears on candidate detail after creation","chromium","2026-07-30","failed","2026-07-30","Feature 1 — Create Candidate Manually","tests/features.spec.js","",""
"","4059","TC-F14-06: Changing lead status to won updates win-rate KPI","chromium","2026-07-30","failed","2026-07-30","Feature 14 — Sales CRM","tests/features.spec.js","",""
